CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-11216-55354,1-Sep-11,4-Aug-11,DENIED,H-2B,PA,1-Sep-11,13-Dec-11,PARSONS ORCHARD,9114 FT MCCORD RD,,CHAMBERSBURG,PA,00000,JUAN C. LEMUS,CHAMBERSBURG,PA,401.687-010,"Farmworker, Grain II",452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","FARMWORKER, GRAIN II",1,0,,,,
C-11144-54959,7-Jul-11,24-May-11,DENIED,H-2B,DC,1-Jun-11,1-Jun-12,"GRIFFIN & MURPHY, LLP","1912 SUNDERLAND PLACE, NW",,WASHINGTON,DC,00000,SHAMEELA SARAH SHAH,WASHINGTON,DC,301.677-010,Child Monitor,399011,Child Care Workers,CHILD MONITOR,1,0,25000,MTH,25000,MTH
C-11186-55168,28-Jul-11,5-Jul-11,DENIED,H-2B,PR,1-Aug-11,31-Jul-12,NORMA M. RIVERA,36 CALLE CONCHA,,MANATI,PR,00674,,,,301.687-010,Caretaker,372012,Maids and Housekeeping Cleaners,CARETAKER,1,0,12.53,HR,12.53,HR
C-11098-54685,2-May-11,8-Apr-11,DENIED,H-2B,PR,25-Mar-11,25-Mar-12,FAST FOODS INVESTMENT CORP. DBA HAPPY PIZZA,PO BOX 11218,,CAPARRA HEIGHTS,PR,00922,FERNANDO OMAR ZAMBRANA-AVILES/ ATTORNEY AT LAW,BAYAMON,PR,313.131-014,Chef,351011,Chefs and Head Cooks,CHEF,1,0,19.3,HR,19.3,HR
C-10337-52140,14-Dec-10,3-Dec-10,DENIED,H-2B,PR,1-Jan-11,31-Dec-11,SONIA LUZ CAMACHO RODRIGUEZ,EL MIRADOR 110,"J. VELAZQUEZ ST., APT. 305",CAROLINA,PR,00987,FERNANDO OMAR ZAMBRANA-AVILES/ ATTORNEY AT LAW,BAYAMON,PR,309.674-014,Personal Attendant,399021,Personal and Home Care Aides,PERSONAL ATTENDANT,1,0,7.54,HR,7.54,HR
C-11048-54100,23-Feb-11,17-Feb-11,CERTIFIED,H-2B,PR,1-Jan-11,31-Dec-11,SONIA LUZ CAMACHO RODRIGUEZ,EL MIRADOR 110,"J. VELAZQUEZ ST., APT. 305",CAROLINA,PR,00987,FERNANDO OMAR ZAMBRANA-AVILES/ ATTORNEY AT LAW,BAYAMON,PR,309.674-014,Personal Attendant,399021,Personal and Home Care Aides,PERSONAL ATTENDANT,1,1,,,,
C-11038-53885,10-Feb-11,7-Feb-11,CERTIFIED,H-2B,MA,15-Apr-11,30-Nov-11,"SCONSET CAFE, LLC",40 HOP BROOK RD.,,AMHERST,MA,01002,MARK D. CARCHIDI,YARMOUTH PORT,MA,319.484-010,"Food Assembler, Kitchen",352021,Food Preparation Workers,"FOOD ASSEMBLER, KITCHEN",10,10,8.86,HR,8.86,HR
C-11088-54605,28-Apr-11,29-Mar-11,DENIED,H-2B,MA,4-Dec-10,1-Feb-11,WOLAN TOOLS CO.,64 GRAND STREET,,SPRINGFIELD,MA,01108,"KEVIN R. MURPHY, ESQ.",SPRINGFIELD,MA,632.281-010,Gunsmith,514081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",GUNSMITH,1,0,16.5,HR,16.5,HR
C-10356-52604,28-Dec-10,22-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,31-Oct-11,"CRYSTAL ROCK AMUSEMENTS, INC. DBA CASTLEROCK SHOWS",35 GRANT STREET,,PITSFIELD,MA,01201,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,30,30,357.2,WK,357.2,WK
C-11004-53043,11-Jan-11,4-Jan-11,CERTIFIED,H-2B,MA,1-Apr-11,31-Oct-11,"GILETTE SHOWS, INC.",291 PECKS ROAD,,PITTSFIELD,MA,01201,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,40,40,357.2,WK,357.2,WK
C-11053-54163,25-Feb-11,22-Feb-11,CERTIFIED,H-2B,MA,1-Apr-11,15-Dec-11,CLASSICAL TENTS AND PARTY GOODS,140 CRYSTAL ST.,P.O. BOX 401,LENOXDALE,MA,01242,STEVEN ALAN MCKAY,HUDSON,NY,382.664-010,Janitor,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",JANITOR,14,14,,,,
C-11005-53066,11-Jan-11,5-Jan-11,CERTIFIED,H-2B,MA,1-Apr-11,30-Nov-11,"B & M LANDSCAPE MAINTENANCE, INC.",11 AUSTIN STREET,,BLACKSTONE,MA,01504,"ROBERT WINGFIELD /AMIGOS LABOR SOLUTIONS, INC.",DALLAS,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",8,8,10.1,HR,10.1,HR
C-10271-51095,19-Oct-10,28-Sep-10,DENIED,H-2B,VA,1-Dec-10,1-Dec-12,ADAM FOX,26 TRAVIS ST,,WORCESTER,MA,01604,,,,301.677-010,Child Monitor,399011,Child Care Workers,CHILD MONITOR,1,0,8.23,HR,8.23,HR
C-10313-51632,23-Nov-10,9-Nov-10,CERTIFIED,H-2B,VA,1-Feb-11,1-Feb-13,ADAM FOX,26 TRAVIS ST,,WORCESTER,MA,01604,,,,301.677-010,Child Monitor,399011,Child Care Workers,CHILD MONITOR,1,1,8.23,HR,8.23,HR
C-10347-52229,16-Dec-10,13-Dec-10,PARTIAL CERTIFIED,H-2B,MA,15-Mar-11,15-Dec-11,"ROGER B. STURGIS & ASSOCIATES, INC.","1455  CONCORD STREET, BUILDING #7",BUILDING 7,FRAMINGHAM,MA,01701,JANE NICHOLS BISHOP,WEST DENNIS,MA,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",12,8,11.39,HR,11.39,HR
C-11228-55414,19-Aug-11,16-Aug-11,CERTIFIED,H-2B,MA,31-Jul-11,31-Dec-11,"THE GOUNDSKEEPER, INC",71 N. NICKERSON ROAD,,ASHLAND,MA,01721,STEVEN ALAN MCKAY,HUDSON,NY,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",6,6,,,,
C-11026-53652,1-Feb-11,26-Jan-11,CERTIFIED,H-2B,MA,14-Mar-11,14-Nov-11,"MASSACHUSETTS SOLAR, INC. DBA KADISON POOL PLASTER","1620 SUDBURY ROAD, SUITE 2",,CONCORD,MA,01742,KEMAL IAN BENOUIS,MANCHACA,TX,869.664-014,Construction Worker I,473012,Helpers--Carpenters,CONSTRUCTION WORKER I,20,20,,,,
C-11041-53963,16-Feb-11,10-Feb-11,PARTIAL CERTIFIED,H-2B,MA,12-Apr-11,24-Oct-11,ISLAND HOLDINGS LLC DBA WINNETU OCEANSIDE RESORT,321 COMMONWEALTH ROAD.,201,WAYLAND,MA,01778,VERONICA T STRICKLAND/PRATICAL EMPLOYEE SOLUTIONS,DALLAS,TX,209.562-010,"Clerk, General",439061,"Office Clerks, General","CLERK, GENERAL",3,2,13.1,HR,13.1,HR
C-11041-53962,16-Feb-11,10-Feb-11,CERTIFIED,H-2B,MA,1-Apr-11,31-Oct-11,ISLAND HOLDINGS LLC DBA WINNETU OCEANSIDE RESORT,321 COMMONWEALTH ROAD.,,WAYLAND,MA,01778,VERONICA T STRICKLAND-BIRKENSTOCK,DALLAS,TX,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",16,16,10.5,HR,10.5,HR
C-11041-53969,4-Mar-11,10-Feb-11,CERTIFIED,H-2B,MA,12-Apr-11,31-Oct-11,ISLAND HOLDINGS LLC DBA WINNETU OCEANSIDE RESORT,321 COMMONWEALTH ROAD,201,WAYLAND,MA,01778,VERONICA T. STRICKLAND,DALLAS,TX,209.567-014,"Order Clerk, Food and Beverage",434151,Order Clerks,"ORDER CLERK, FOOD AND BEVERAGE",3,3,11.95,HR,11.95,HR
C-11028-53693,17-Feb-11,28-Jan-11,CERTIFIED,H-2B,MA,1-Apr-11,30-Nov-11,"TRIAD ASSOCIATES, INC.",100 DOWNING AVE.,,HAVERHILL,MA,01830,GEORGE N LESTER,BOSTON,MA,853.663-010,Asphalt-Paving-Machine Operator,472071,"Paving, Surfacing, and Tamping Equipment Operators",ASPHALT PAVING MACHINE OPERATOR,39,39,16,HR,16,HR
C-11053-54141,9-Mar-11,22-Feb-11,CERTIFIED,H-2B,MA,1-Apr-11,30-Nov-11,"TRIAD ASSOCIATES, INC.",100 DOWNING AVE.,,HAVERHILL,MA,01830,GEORGE N LESTER,BOSTON,MA,842.381-014,Stucco Mason,472161,Plasterers and Stucco Masons,STUCCO MASON,40,40,18.75,HR,18.75,HR
C-11010-53225,13-Jan-11,10-Jan-11,PARTIAL CERTIFIED,H-2B,MA,1-Apr-11,1-Dec-11,"ND LANDSCAPE, INC",2 MARTEL WAY,,GEORGETOWN,MA,01833,BRANDI COWAN,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10,6,10.63,HR,10.63,HR
C-10349-52287,20-Dec-10,15-Dec-10,CERTIFIED,H-2B,NH,15-Dec-10,25-Apr-11,"M.G.R. AMUSEMENTS, INC.",21 BAKER ROAD,,SALISBURY,MA,01952,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,20,20,354.4,WK,354.4,WK
C-10350-52327,4-Jan-11,16-Dec-10,DENIED,H-2B,MA,1-Apr-11,30-Nov-11,BOSTON GOLF CLUB,19 OLD COUNTY ROAD,,HINGHAM,MA,02043,JOHN GISMONDI GISMONDI,WESTBURY,NY,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10,0,10.63,HR,10.63,HR
C-11005-53087,11-Jan-11,5-Jan-11,CERTIFIED,H-2B,MA,1-Apr-11,30-Nov-11,BOSTON GOLF CLUB,19 OLD COUNTY ROAD,,HINGHAM,MA,02043,JOHN GISMONDI,WESTBURY,NY,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10,10,10.63,HR,10.63,HR
C-11060-54285,7-Mar-11,1-Mar-11,CERTIFIED,H-2B,MA,1-Apr-11,30-Nov-11,"MACAULEY BROS., INC.",84 PLEASANT STREET,"528 COLUMBIAN STREET, WEYMOUTH, MA 02190",NORWELL,MA,02061,MARK CARCHIDI,YARMOUTH PORT,MA,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",10,10,10.63,HR,10.63,HR
C-10349-52282,10-Jan-11,15-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,15-Dec-11,SAFE MOVERS INC. DBA ISAAC'S MOVING AND STORAGE,181 CAMPANELLI PARKWAY,,STOUGHTON,MA,02072,CHARLES FRASER GOLDSMITH,BEVERLY,MA,680.686-018,"Machine Feeder, Raw Stock",537063,Machine Feeders and Offbearers,"MACHINE FEEDER, RAW STOCK",20,20,,,,
C-11018-53418,24-Jan-11,18-Jan-11,CERTIFIED,H-2B,MA,1-Apr-11,30-Nov-11,ROMEIRO'S LANDSCAPING INC,1790 WASHINGTON ST.,,STOUGHTON,MA,02072,APRIL MCKINNEY,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",7,7,11.39,HR,11.39,HR
C-10357-52701,4-Jan-11,23-Dec-10,DENIED,H-2B,MA,1-Mar-11,30-Sep-11,STAIRHOPPER MOVERS LLC,420 RUTHERFORD AVENUE,,CHARLESTOWN,MA,02129,FREDERIC C HITE/LAW OFFICES OF FREDERIC C. HITE,BOSTON,MA,929.687-030,Material Handler,537062,"Laborers and Freight, Stock, and Material Movers, Hand",MATERIAL HANDLER,10,0,11,HR,11,HR
C-11024-53564,27-Jan-11,24-Jan-11,CERTIFIED,H-2B,MA,1-Mar-11,30-Sep-11,STAIRHOPPER MOVERS LLC,420 RUTHERFORD AVENUE,,CHARLESTOWN,MA,02129,FREDERIC C HITE,BOSTON,MA,921.664-010,Line Mover,519198,Helpers--Production Workers,LINE MOVER,10,10,11,HR,11,HR
C-10316-51689,17-Nov-10,12-Nov-10,PARTIAL CERTIFIED,H-2B,MA,21-Feb-11,1-Dec-11,GENTLE GIANT MOVING CO INC,29 HARDING ST.,,SOMERVILLE,MA,02143,RITA  ROMERO,BAY CITY,TX,929.687-030,Material Handler,537062,"Laborers and Freight, Stock, and Material Movers, Hand",MATERIAL HANDLER,60,55,,,,
C-10356-52603,28-Dec-10,22-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,15-Dec-11,"GARRICK CONSTRUCTION, INC. DBA GARRICK-SANTO LANDS",144 EASTERN AVENUE,,MALDEN,MA,02148,,,,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",20,20,10.63,HR,10.63,HR
C-11026-53656,11-Feb-11,26-Jan-11,CERTIFIED,H-2B,ME,1-Apr-11,31-Dec-11,RICHIES KING OF SLUSH,3 GARVEY STREET,,EVERETT,MA,02149,MARK D. CARCHIDI,YARMOUTH PORT,MA,195.367-022,Food-Management Aide,211093,Social and Human Service Assistants,FOOD MANAGEMENT AIDE,6,6,8.74,HR,8.74,HR
C-11053-54169,30-Mar-11,22-Feb-11,DENIED,H-2B,MA,,,MARK HAYWARD DBA M AND M LANDSCAPING,52 MAGOUN AVENUE,,MEDFORD,MA,02155,,,,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",3,0,8,HR,8,HR
C-10356-52580,28-Dec-10,22-Dec-10,CERTIFIED,H-2B,MA,1-Mar-11,1-Nov-11,"PAUL TURNER'S ULTIMATE SOCCER ACADEMY, INC.",62 MAIN STREET,,KINGSTON,MA,02364,"KENDRA S. KEMBEL, ESQ.",ENOLA,PA,153.227-018,"Instructor, Sports",399031,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",6,6,12.35,HR,12.35,HR
C-11053-54157,1-Mar-11,22-Feb-11,CERTIFIED,H-2B,MA,1-Apr-11,1-Dec-11,"MASSACHUSETTS PREMIER SOCCER, LLC.",85 CENTRAL ST.,,WALTHAM,MA,02453,GREGORY J. VARTANIAN,BOSTON,MA,153.227-018,"Instructor, Sports",399031,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",90,90,16.6,HR,16.6,HR
C-11060-54281,12-Apr-11,1-Mar-11,DENIED,H-2B,MA,15-May-11,30-Oct-11,PENNSYLVANIA HOLDING CO. DBA INDIGO LOUNGE,728 NEWTON STREET,,CHESTNUT HILL,MA,02467,,,,185.167-046,"Manager, Retail Store",411011,First-Line Supervisors/Managers of Retail Sales Workers,"MANAGER, RETAIL STORE",1,0,15,HR,15,HR
C-11242-55495,19-Sep-11,30-Aug-11,CERTIFIED,H-2B,MA,1-Oct-11,31-Mar-12,THE COUNTRY CLUB,191 CLYDE STREET,,CHESTNUT HILL,MA,02467,BEATA IZABELA WEISS,BOSTON,MA,153.224-010,Athletic Trainer,299091,Athletic Trainers,ATHLETIC TRAINER,1,1,32.83,HR,32.83,HR
C-10330-52038,1-Dec-10,26-Nov-10,CERTIFIED,H-2B,MA,1-Mar-11,30-Nov-11,SPIKE INC DBA OLYMPIA MOVING & STORAGE,17 BRIDGE STREET,,WATERTOWN,MA,02472,BRANDI COWAN,BAY CITY,TX,910.583-010,"Laborer, Car Barn",534013,"Rail Yard Engineers, Dinkey Operators, and Hostlers","LABORER, CAR BARN",45,45,10.26,HR,10.26,HR
C-11003-52957,20-Jan-11,3-Jan-11,DENIED,H-2B,MA,1-Apr-11,30-Nov-11,VALLEYCREST LANDSCAPE MAINTENANCE DBA WAVERLY LAND,1010 PLEASANT STREET,,BELMONT,MA,02478,MARY ELLEN RYAN,BOSTON,MA,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",45,0,10.63,HR,10.63,HR
C-11089-54623,11-Apr-11,18-Mar-11,DENIED,H-2B,MA,1-Apr-11,30-Nov-11,VALLEYCREST LANDSCAPE MAINTENANCE DBA WAVERLY LAND,1010 PLEASANT STREET,,BELMONT,MA,02478,MARY ELLEN RYAN,BOSTON,MA,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",10,0,11.67,HR,11.67,HR
C-10354-52502,23-Dec-10,20-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,15-Dec-11,COONAMESSETT FARM,277 HATCHVILLE RD.,,EAST FALMOUTH,MA,02536,AMY ELLEN FERREIRA/FERREIRA & VAZQUEZ,MASHPEE,MA,570.686-018,Preparation-Room Worker,537063,Machine Feeders and Offbearers,PREPARATION ROOM WORKER,5,5,9.17,HR,9.17,HR
C-10334-52077,17-Dec-10,30-Nov-10,DENIED,H-2B,MA,1-Oct-10,1-May-11,"HARBORSIDE TRIANGLE LIQUORS, LTD DBA YOUR MARKET",PO BOX 9000 PMB #225,,EDGARTOWN,MA,02539,BRIAN FIGEROUX/ FIGEROUX & ASSOCIATES,BROOKLYN,NY,249.367-058,Parts-Order-and-Stock Clerk,435081,Stock Clerks and Order Fillers,PARTS ORDER AND STOCK CLERK,1,0,13,HR,13,HR
C-10349-52265,20-Dec-10,15-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,15-Nov-11,PAUL J. PERTILE DBA M.V. TENNIS,49 BOLD MEADOW ROAD,,EDGARTOWN,MA,02539,MARILYN H VUKOTA,EDGARTOWN,MA,406.687-010,Landscape Specialist,373011,Landscaping and Groundskeeping Workers,LANDSCAPE SPECIALIST,2,2,,,,
C-10351-52416,22-Dec-10,17-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,20-Nov-11,HARBORSIDE INN CONDO TRUST DBA THE HARBORSIDE INN,3 SOUTH WATER STREET,PO BOX 67,EDGARTOWN,MA,02539,JANE NICHOLS BISHOP,WEST DENNIS,MA,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",7,7,10.3,HR,10.3,HR
C-10348-52251,28-Dec-10,14-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,1-Dec-11,"MURDICKS FUDGE COMPANY OF MASS., INC.",21 N. WATER STREET,,EDGARTOWN,MA,02539,MARILYN H VUKOTA,EDGARTOWN,MA,311.477-014,"Counter Attendant, Lunchroom or Coffee Shop",353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","COUNTER ATTENDANT, LUNCHROOM OR COFFEE SHOP",12,12,,,,
C-10348-52259,4-Jan-11,14-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,15-Oct-11,EDGARTOWN COMMONS CONDOMINIUM TRUST,20 PEASE'S POINT WAY,PO BOX 1293,EDGARTOWN,MA,02539,MARILYN H VUKOTA,EDGARTOWN,MA,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",4,4,10.3,DAI,10.3,DAI
C-10354-52429,5-Jan-11,20-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,15-Nov-11,"BREWER TREE AND LAND COMPANY, INC.",CLEVELANDTOWN ROAD,P.O. BOX 2241,EDGARTOWN,MA,02539,MARILYN H VUKOTA,EDGARTOWN,MA,406.687-010,Landscape Specialist,373011,Landscaping and Groundskeeping Workers,LANDSCAPE SPECIALIST,2,2,,,,
C-10357-52680,11-Jan-11,23-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,20-Nov-11,HARBORSIDE INN CONDO TRUST DBA THE HARBORSIDE INN,3 SOUTH WATER STREET PO BOX 67,,EDGARTOWN,MA,02539,JANE NICHOLS BISHOP,WEST DENNIS,MA,238.367-038,Hotel Clerk,434081,"Hotel, Motel, and Resort Desk Clerks",HOTEL CLERK,4,4,14.1,HR,14.1,HR
C-11028-53691,15-Feb-11,28-Jan-11,CERTIFIED,H-2B,MA,15-Apr-11,1-Nov-11,SOJO CORP DBA CHESCA'S,38 NORTH WATER STREET,,EDGARTOWN,MA,02539,MARILYN H VUKOTA,EDGARTOWN,MA,313.361-014,Cook,352014,"Cooks, Restaurant",COOK,3,3,,,,
C-11042-53988,17-Feb-11,11-Feb-11,CERTIFIED,H-2B,MA,25-May-11,15-Oct-11,HARBORSIDE INN CONDO TRUST DBA THE HARBORSIDE INN,PO BOX 67,3 SOUTH WATER STREET,EDGARTOWN,MA,02539,JANE NICHOLS BISHOP,WEST DENNIS,MA,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",8,8,10.3,HR,10.3,HR
C-11110-54753,25-Apr-11,20-Apr-11,CERTIFIED,H-2B,MA,15-May-11,19-Oct-11,"TRANSIT CONNECTION, INC.",MVBP RR 1 BOX 3,,EDGARTOWN,MA,02539,JOHN MCNAMARA,AUSTIN,TX,913.463-010,Bus Driver,533022,"Bus Drivers, School",BUS DRIVER,6,6,15,HR,15,HR
C-10354-52500,23-Dec-10,20-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,15-Dec-11,"CAPE COD RESTAURANTS, INC DBA COONAMESSETT INN",311 GIFFORD ST.,,FALMOUTH,MA,02540,AMY ELLEN FERREIRA,MASHPEE,MA,350.677-030,Waiter/Waitress,353031,Waiters and Waitresses,WAITER/WAITRESS,25,25,11.08,HR,11.08,HR
C-10354-52489,29-Dec-10,20-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,15-Dec-11,"CAPE COD RESTAURANTS, INC DBA THE COONAMESSETT INN",311 GIFFORD ST.,,FALMOUTH,MA,02540,AMY ELLEN FERREIRA,MASHPEE,MA,319.484-010,"Food Assembler, Kitchen",352021,Food Preparation Workers,"FOOD ASSEMBLER, KITCHEN",30,30,9.17,HR,9.17,HR
C-10363-52852,5-Jan-11,29-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,30-Nov-11,"INN ON THE SQUARE, LLC DBA INN ON THE SQUARE",40 NORTH MAIN STREET,,FALMOUTH,MA,02540,,,,187.167-046,Executive Housekeeper,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,EXECUTIVE HOUSEKEEPER,3,3,,,,
C-11006-53126,12-Jan-11,6-Jan-11,CERTIFIED,H-2B,MA,1-Apr-11,30-Nov-11,"INN ON THE SQUARE, LLC",40 NORTH MAIN STREET,,FALMOUTH,MA,02540,,,,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",8,8,10.5,HR,10.5,HR
C-10364-52912,6-Jan-11,30-Dec-10,CERTIFIED,H-2B,MA,15-Apr-11,15-Nov-11,"WOODS HOLE MOTOR INN, INC. DBA SLEEPY HOLLOW MOTOR",527 WOODS HOLE ROAD,PO BOX 743,WOODS HOLE,MA,02543,JANE NICHOLS BISHOP,WEST DENNIS,MA,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",4,4,9.85,HR,9.85,HR
C-11021-53509,26-Jan-11,21-Jan-11,CERTIFIED,H-2B,MA,1-May-11,1-Oct-11,"WOODS HOLE INN, LLC DBA QUICKS HOLES",28 WATER ST.,PO BOX 4,WOODS HOLE,MA,02543,AMY ELLEN FERREIRA,MASHPEE,MA,700.687-062,Preparer,519199,"Production Workers, All Other",PREPARER,6,6,9.17,HR,9.17,HR
C-11053-54172,25-Feb-11,22-Feb-11,CERTIFIED,H-2B,MA,1-May-11,30-Oct-11,SWORDFISH ENTERPRISES DBA THE INNS AT MENEMSHA,12 MENEMSHA ROAD,,MENEMSHA,MA,02552,ANA COHEN COHEN,BETHESDA,MD,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",12,12,11.83,HR,11.83,HR
C-11053-54170,1-Mar-11,22-Feb-11,CERTIFIED,H-2B,MA,1-May-11,30-Oct-11,SWORDFISH ENTERPRISES DBA THE INNS AT MENEMSHA,12 MENEMSHA ROAD,,MENEMSHA,MA,02552,ANA COHEN COHEN,BETHESDA,MD,319.484-010,"Food Assembler, Kitchen",352021,Food Preparation Workers,"FOOD ASSEMBLER, KITCHEN",6,6,11.81,HR,11.81,HR
C-11056-54222,14-Mar-11,25-Feb-11,PARTIAL CERTIFIED,H-2B,MA,15-Apr-11,15-Oct-11,NANTUCKET GOLF MANAGMENT DBA MIACOMET GOLF MANAGEM,12 WEST MIACOMET ROAD,,NANTUCKET,MA,02554,MICHAEL DAVID HEFNER / RESOURCE STAFFING INTERNATI,PITTSFIELD,VT,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",12,11,13.4,HR,13.4,HR
C-11087-54583,6-Apr-11,28-Mar-11,PARTIAL CERTIFIED,H-2B,MA,15-May-11,31-Oct-11,"BOARDING HOUSE, INC. DBA THE BOARDING HOUSE & THE",12 FEDERAL STREET,P.O. BOX 898,NANTUCKET,MA,02554,MATTHEW LEE,BOSTON,MA,313.361-014,Cook,352014,"Cooks, Restaurant",COOK,6,6,11.43,HR,11.43,HR
C-10351-52398,21-Dec-10,17-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,30-Nov-11,BRASS LANTERN LLC DBA BRASS LANTERN INN,11 N WATER STREET,,NANTUCKET,MA,02554,JANE NICHOLS BISHOP,WEST DENNIS,MA,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",2,2,10.3,HR,10.3,HR
C-10361-52817,30-Dec-10,27-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,15-Dec-11,EVEN KEEL CAFE,40 MAIN STREET,,NANTUCKET,MA,02554,,,,313.361-014,Cook,352014,"Cooks, Restaurant",COOK,14,14,12,HR,12,HR
C-10351-52410,5-Jan-11,17-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,14-Dec-11,"NANTUCKET PERIWINKLE, INC DBA PERIWINKLE INN, SCAL",PO BOX 1816,,NANTUCKET,MA,02554,JANE NICHOLS BISHOP/PEAK SEASON WORKFORCE,WEST DENNIS,MA,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",2,2,10.3,HR,10.3,HR
