CASE_NUMBER,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVIALING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
H-400-12321-302048,12/21/12,11/16/12,Certified,H-2B,NY,3/1/13,11/30/13,Fred's Studio Tents & Canopies Inc,7 Tent Lane,,Stillwater,NY,12170,Sarah Farrell,Vass,NC,51-6031,Sewing Machine Operators,Tent Maker,15,8.81,Hour,8.81,Hour
H-400-12321-475451,12/21/12,12/10/12,Certified,H-2B,TN,3/18/13,11/8/13,Southeast Venture Landscape Management LLC,4011 Armory Oaks Dr,,Nashville,TN,37204,BRANDI COWAN,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,12,9.12,Hour,9.12,Hour
H-400-12321-843800,12/21/12,12/5/12,Partial Certified,H-2B,NJ,3/19/13,12/14/13,Cutting Edge Landscaping Inc,11 Dumont Avenue,,Dumont,NJ,07628,BRANDI COWAN,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,18,10.36,Hour,10.36,Hour
H-400-12324-706913,12/21/12,12/11/12,Partial Certified,H-2B,MO,2/4/13,12/1/13,"PAR Partnership, Inc.",1400 Shawnee Cr.,,Arnold,MO,63010,DANIEL KOWALSKI,AUSTIN,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,54,12.41,Hour,12.41,Hour
H-400-12324-205168,12/21/12,11/19/12,Partial Certified,H-2B,FL,2/16/13,11/15/13,Sandestin Investments LLC,9300 Emerald Coast Parkway West,,Destin,FL,32550,,,,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPER,163,9,Hour,9,Hour
H-400-12324-765099,12/21/12,11/19/12,Certified,H-2B,TX,2/11/13,12/11/13,Moe Freid Marble & Granite,"11904 Old San Antonio Road, Suite 7",,Manchaca,TX,78652,KEMAL BENOUIS,MANCHACA,TX,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons,",Laborer,21,10.49,Hour,10.49,Hour
H-400-12324-909986,12/21/12,11/19/12,Partial Certified,H-2B,NC,12/21/12,8/30/13,"M & R Forestry Services, Inc.",24062 Sam Rd,,Albemarle,NC,28001,Ginny Muilenburg,Coeur d Alene,ID,45-4011,Forest and Conservation Workers,Forestry Workers,45,12.13,Hour,12.13,Hour
H-400-12324-710078,12/21/12,12/11/12,Partial Certified,H-2B,NY,3/25/13,12/1/13,Bristol's Garden Center,7454 Victor-Pittsford Rd.,,Victor,NY,14564,BRANDI COWAN,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,23,8.36,Hour,8.36,Hour
H-400-12326-836917,12/21/12,11/21/12,Certified,H-2B,TX,3/1/13,11/30/13,"Texas Land Care, Inc.",6115 Denton Dr.,,Dallas,TX,75235,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,15,8.12,Hour,8.12,Hour
H-400-12326-480517,12/21/12,11/21/12,Certified,H-2B,TX,2/23/13,11/16/13,"Woodpecker Cabinets, Inc.",2301 Hwy 380,,Greenville,TX,75401,DANIELLE CLARK,WYLIE,TX,47-3012,Helpers--Carpenters,Carpenters Helper,10,10.72,Hour,10.72,Hour
H-400-12328-623718,12/21/12,11/23/12,Certified,H-2B,NJ,2/15/13,12/13/13,Laurens Landscaping Corporation,703 New Brunswick,,Somerset,NJ,08873,Luisa Ramirez,Pine Brook,NJ,37-3011,Landscaping and Groundskeeping Workers,Landscaping Labor,19,9.89,Hour,9.89,Hour
H-400-12331-162012,12/21/12,11/26/12,Certified,H-2B,LA,2/15/13,12/14/13,Squire Creek,360 Squire Creek Parkway,,Choudrant,LA,71227,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,25,9.05,Hour,9.05,Hour
H-400-12331-289624,12/21/12,11/26/12,Partial Certified,H-2B,CO,2/1/13,12/1/13,Swingle Inc,8585 East Warren Avenue,,Denver,CO,80231,FERNANDO SAENZ,MECHANICSVILLE,VA,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,18,11.47,Hour,11.47,Hour
H-400-12331-788815,12/21/12,11/26/12,Partial Certified,H-2B,MS,1/15/13,11/15/13,Americas Catch Inc,P O Box 584,46623 County Road 523,Itta Bena,MS,38941,,,,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",Fish Trimmer,33,8.13,Hour,8.13,Hour
H-400-12332-748117,12/21/12,11/28/12,Partial Certified,H-2B,MS,3/4/13,11/30/13,"Murphy's Lawn & Landscape, Inc.",1010 Hwy 471,P.O. Box 2342,Brandon,MS,39043,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,9,8.12,Hour,8.12,Hour
H-400-12332-943844,12/21/12,12/11/12,Certified,H-2B,KS,3/23/13,11/2/13,"Ottaway Amusement Company, Inc.",19650 Straight Creek Rd.,N/A,Onaga,KS,66521,ROBERT PIERCE,ANNAPOLIS,MD,39-3091,Amusement and Recreation Attendants,Carnival Worker,20,8.32,Hour,8.32,Hour
H-400-12333-127939,12/21/12,12/11/12,Certified,H-2B,VA,3/4/13,12/15/13,"Toll Brothers, LLC - VA",19775 Belmont Executive Plaza #250,,Ashburn,VA,20147,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,24,8.99,Hour,8.99,Hour
H-400-12333-889281,12/21/12,11/28/12,Certified,H-2B,MO,3/1/13,12/20/13,SCHWARTZ BROS LANDSCAPE SOLUTIONS INC,569 MUIRFIELD DRIVE,NA,ST CHARLES,MO,63304,JOHN GISMONDI,WESTBURY,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,12,8.8,Hour,8.8,Hour
H-400-12333-316286,12/21/12,12/2/12,Partial Certified,H-2B,MD,2/1/13,12/1/13,"Goshen Enterprises, Inc",5300 Riggs Road,5300-G Riggs Road Laytonsville MD 20882,Laytonsville,MD,20882,Elizabeth Whitley,LOVINGSTON,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,18,9.49,Hour,9.49,Hour
H-400-12333-700598,12/21/12,12/1/12,Certified,H-2B,FL,12/21/12,5/31/13,TEH Racing Stables LLC,1705 Woodland Ave.,N/A,Warren,OH,44483,William Velie,NORMAN,OK,39-2021,Nonfarm Animal Caretakers,Horse Groom,6,9.11,Hour,9.11,Hour
H-400-12334-796174,12/21/12,12/1/12,Certified,H-2B,PA,2/15/13,12/15/13,"DiStefano Landscape Services, Inc.",181 Robbins Road,,Downingtown,PA,19335,DANIEL ANNA,MEDIA,PA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,35,9.22,Hour,9.22,Hour
H-400-12335-652672,12/21/12,12/5/12,Certified,H-2B,MS,3/1/13,12/30/13,Great Southern Events,191 Spell Drive,N/A,Richland,MS,39218,FLORENE HARDIGREE,MENDENHALL,MS,53-7062,"Laborers and Freight, Stock, and Material Movers,",Helpers,5,8.09,Hour,8.09,Hour
H-400-12335-395026,12/21/12,11/30/12,Certified,H-2B,NY,3/1/13,11/30/13,Rick's Crabby Cowboy Cafe,431 Eastlake Dr,NA,Montauk,NY,11954,Denig Minto,Hempstead,NY,35-9011,Dining Room and Cafeteria Attendants and Bartender,Dining Room Attendant Cafeteria & Bartender Helper,8,8.5,Hour,8.5,Hour
H-400-12337-323354,12/21/12,12/11/12,Certified,H-2B,NJ,2/1/13,12/1/13,"ATSC, LLC",647 BOUND BROOK RD,,MIDDLESEX,NJ,08846,STEVEN SKLAR,MAPLEWOOD,NJ,27-2022,Coaches and Scouts,Soccer coach,40,16.4,Hour,16.4,Hour
H-400-12337-104114,12/21/12,12/11/12,Certified,H-2B,NJ,3/1/13,11/25/13,"TSF ACADEMY, LLC",175 BEAVERBROOK ROAD,,LINCOLN PARK,NJ,07035,STEVEN SKLAR,MAPLEWOOD,NJ,27-2022,Coaches and Scouts,Soccer coach,35,15.72,Hour,15.72,Hour
H-400-12338-268618,12/21/12,12/3/12,Certified,H-2B,IL,3/15/13,11/15/13,Challenger Sports Corp.,8263 Flint,,Lenexa,KS,66214,Keith Pabian,Boston,MA,27-2022,Coaches and Scouts,Club Trainer,5,9.52,Hour,9.52,Hour
H-400-12340-942126,12/21/12,12/11/12,Partial Certified,H-2B,KS,3/1/13,11/30/13,"GREEN BOYS LAWNCARE, INC.",P.O. BOX 67611,,TOPEKA,KS,66667,,,,37-3011,Landscaping and Groundskeeping Workers,landscape laborer,2,8.14,Hour,8.14,Hour
H-400-12340-743654,12/21/12,12/5/12,Certified,H-2B,MO,2/15/13,12/15/13,"OnGoal, LLC",210 W. 19th Terrace,Suite 200,Kansas City,MO,64108,LEON VERSFELD,KANSAS CITY,MO,41-9011,Demonstrators and Product Promoters,Merchandise Promoters,3,8.17,Hour,8.17,Hour
H-400-12340-261197,12/21/12,12/5/12,Certified,H-2B,SD,12/21/12,4/30/13,Beadle Fur Trading & Brokerage,12848 386th Avenue,N/A,Aberdeen,SD,57401,KEVIN OPP,ABERDEEN,SD,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",General Laborer,6,10.33,Hour,10.33,Hour
H-400-12342-279124,12/21/12,12/10/12,Certified,H-2B,MO,3/1/13,12/20/13,Palmyra Professional Lawn Management,1939 Wentzville Pkwy # 335,,Wenztville,MO,63385,SUZANNE BROWN,ST. LOUIS,MO,37-3011,Landscaping and Groundskeeping Workers,Laborer,6,8.78,Hour,8.78,Hour
H-400-12342-270693,12/21/12,12/7/12,Partial Certified,H-2B,PA,3/1/13,12/1/13,Evanovich Inc,5317 South Pennsylvania Ave,,Bethel Park,PA,15102,Sarah Farrell,Vass,NC,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,19,8.5,Hour,8.5,Hour
H-400-12342-139294,12/21/12,12/10/12,Certified,H-2B,,3/11/13,12/1/13,Schmidt Landscaping Inc,1521 Millers Run Road,,McDonald,PA,15057,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,10,8.5,Hour,8.5,Hour
H-400-12342-983055,12/21/12,12/7/12,Withdrawn,H-2B,OH,4/1/13,12/1/13,Rossi Landscaping Inc.,5823 Brecksville Road,,Independence,OH,44131,Nicoleta Wojnar,Cleveland,OH,37-3011,Landscaping and Groundskeeping Workers,Landscaper,0,8.35,Hour,8.35,Hour
H-400-12345-815489,12/21/12,12/10/12,Certified,H-2B,MD,3/1/13,12/1/13,"Denison Landscaping, Inc.",8911 Oxon Hill Road,,Fort Washington,MD,20744,FERNANDO SAENZ,MECHANICSVILLE,VA,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,168,9.01,Hour,9.01,Hour
H-400-12345-298675,12/21/12,12/10/12,Certified,H-2B,MA,3/15/13,10/31/13,Cooks Sidewalk Cafe,6 South Beach Street,N/A,Nantucket,MA,02554,,,,35-3021,"Combined Food Preparation and Serving Workers,",Fast Food and Counter Worker,5,9,Hour,9,Hour
H-400-12345-052780,12/21/12,12/11/12,Certified,H-2B,MD,3/4/13,12/1/13,"Paul Schwartz Landscaping, LLC",4911 Carroll Manor Rd.,,Baldwin,MD,21013,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,8,9.01,Hour,9.01,Hour
H-400-12345-351136,12/21/12,12/11/12,Partial Certified,H-2B,NJ,3/11/13,12/31/13,"G & G Landscaping Construction, Inc.","24059 W. Main Street, Ste D",,Columbus,NJ,08022,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,23,9.49,Hour,9.49,Hour
H-400-12345-810139,12/21/12,12/10/12,Certified,H-2B,MO,3/15/13,12/15/13,"M & P Landscaping, Inc.",1604 Fairview Ave.,,St. Louis,MO,63132,Robert Wingfield,Dallas,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,32,8.78,Hour,8.78,Hour
H-400-12345-701303,12/21/12,12/10/12,Certified,H-2B,MO,2/15/13,9/14/13,"Loly's Lawn Service, LLC",7218 Forestate Drive,,St. Louis,MO,63123,Vivek Malik,Saint Louis,MO,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,9,8.78,Hour,8.78,Hour
H-400-12345-541460,12/21/12,12/11/12,Certified,H-2B,PA,3/4/13,11/15/13,"M & M Lawn Service, Inc",4638 Steven Lane,,Walnutport,PA,18088,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,17,9.42,Hour,9.42,Hour
H-400-12345-283006,12/21/12,12/10/12,Certified,H-2B,MA,3/1/13,12/31/13,"PREDATOR FISHERIES, INC.",113 MCARTHUR DR.,,NEW BEDFORD,MA,02740,LINDA PEREZ,BROWNSVILLE,TX,45-3011,Fishers and Related Fishing Workers,FISHING VESSEL DECKHAND,5,15.21,Hour,15.21,Hour
H-400-12345-220377,12/21/12,12/10/12,Partial Certified,H-2B,MD,3/1/13,11/30/13,"Altra, Inc.",1591 E. Old Philadelphia Road,,Elkton,MD,21921,Robert Wingfield,Dallas,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,11,9.16,Hour,9.16,Hour
H-400-12345-842377,12/21/12,12/10/12,Certified,H-2B,MO,3/1/13,12/15/13,St. Louis Select Landscaping & Lawn Care,2701 Williams Creek Rd.,,High Ridge,MO,63049,Ginny Muilenburg,Coeur d'Alene,ID,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborers,35,8.78,Hour,8.78,Hour
H-400-12345-975796,12/21/12,12/10/12,Partial Certified,H-2B,CO,3/1/13,11/30/13,"Parkside Landscaping, Inc.",5160 West Maplewood,,Littleton,CO,80123,Joel Anderson,Aurora,CO,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,26,9.36,Hour,9.36,Hour
H-400-12345-796900,12/21/12,12/10/12,Partial Certified,H-2B,CO,3/1/13,10/31/13,"COCAL LANDSCAPE SERVICES, INC.",12570 E. 39TH AVENUE,,DENVER,CO,80239,,,,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,99,9.36,Hour,9.36,Hour
H-400-12346-801824,12/21/12,12/11/12,Certified,H-2B,TX,3/1/13,12/24/13,CONSTRUCTION RENT A FENCE INC,102 Main St,,THRALL,TX,76578-0065,,,,47-4031,Fence Erectors,Fence Erector,20,8.75,Hour,8.75,Hour
H-400-12346-740156,12/21/12,12/11/12,Certified,H-2B,FL,2/12/13,9/5/13,"NVHG Hotel Operator, LLC",61 Hawks Cay Blvd.,,Duck Key,FL,33050,,,,37-2012,Maids and Housekeeping Cleaners,Housekeeper,20,10,Hour,10,Hour
H-400-12346-725409,12/21/12,12/11/12,Partial Certified,H-2B,FL,2/1/13,11/30/13,QUALITY HOSPITALITY SOLUTIONS LLC,7153 W HIGHWAY 98TH,,PANAMA CITY BEACH,FL,32407,MICHELE MCCARTHY,JAMAICA,NY,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPER,58,8.19,Hour,8.19,Hour
H-400-12346-475940,12/21/12,12/11/12,Certified,H-2B,FL,2/12/13,9/5/13,"NVHG Hotel Operator, LLC",61 Hawks Cay Blvd.,,Duck Key,FL,33050,,,,43-4081,"Hotel, Motel, and Resort Desk Clerks",Front Desk Clerk,5,11,Hour,11,Hour
H-400-12346-205927,12/21/12,12/11/12,Certified,H-2B,FL,2/12/13,9/5/13,"NVHG Hotel Operator, LLC",61 Hawks Cay Blvd.,,Duck Key,FL,33050,,,,35-3031,Waiters and Waitresses,Waiter/Waitress,10,8.81,Hour,8.81,Hour
H-400-12346-441659,12/21/12,12/11/12,Certified,H-2B,IN,3/1/13,11/20/13,"MID AMERICA SHOWS DELAWARE, INC",109 S. Main Street,"mailing address: P.O. Box 429, Farmland, IN. 47340",Farmland,IN,47340,Joe NICHOLS,Sanford,FL,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendants - Traveling Ca,115,8,Hour,8,Hour
H-400-12346-770399,12/21/12,12/11/12,Certified,H-2B,FL,2/12/13,9/5/13,"NVHG Hotel Operator, LLC",61 Hawks Cay Blvd.,,Duck Key,FL,33050,,,,35-2014,"Cooks, Restaurant",Cook,6,12,Hour,12,Hour
H-400-12346-624549,12/21/12,12/11/12,Certified,H-2B,LA,2/15/13,11/30/13,"MITCHELL BROTHER'S & SON'S, INC",61401 HWY 11 NORTH,N/A,SLIDELL,LA,70458-0000,JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement & Recreation Attendant,25,316,Week,316,Week
H-400-12346-604424,12/21/12,12/11/12,Partial Certified,H-2B,NJ,3/4/13,12/23/13,"Szul's Landscapes, LLC",26 Chesterfield-Georgetown Road,,Chesterfield,NJ,08515,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,15,9.4,Hour,9.4,Hour
H-400-12346-793186,12/21/12,12/11/12,Certified,H-2B,MO,2/15/13,12/15/13,"OnGoal, LLC",210 W. 19th Terrace,Suite 200,Kansas City,MO,64108,LEON VERSFELD,KANSAS CITY,MO,27-2022,Coaches and Scouts,Soccer Analyst,1,8.24,Hour,8.24,Hour
H-400-12346-168836,12/21/12,12/11/12,Certified,H-2B,,3/4/13,12/15/13,"Evergreen Nursery, LLC",211 Thompsonville Road,,McMurray,PA,15317,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,10,8.5,Hour,8.5,Hour
H-400-12346-794697,12/21/12,12/11/12,Certified,H-2B,NJ,3/15/13,12/31/13,Better Tree LLC,285 Spring Valley Road,N/A,Old Bridge,NJ,08857,Craig McDougal,NORMAN,OK,37-3013,Tree Trimmers and Pruners,Tree Surgeons,2,12.94,Hour,12.94,Hour
H-400-12355-335219,12/21/12,12/21/12,Withdrawn,H-2B,PA,1/1/13,10/31/13,TBD Training LLC,361 Robinson St. Unit 230,n/a,Basalt,CO,81621,William Velie,NORMAN,OK,39-2021,Nonfarm Animal Caretakers,Horse Groom,0,9.19,Hour,9.19,Hour
H-400-12356-316710,12/21/12,12/21/12,Withdrawn,H-2B,PA,4/1/13,12/15/13,"Creative Exteriors, Inc.",165 Chestnut Grove Rr.,,Dillsburg,PA,17019,Robert Wingfield,Dallas,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,0,9.46,Hour,9.46,Hour
H-400-12293-970665,12/26/12,11/8/12,Withdrawn,H-2B,TX,2/18/13,12/18/13,Vizcaino LP,2210 W 16th St,,Odessa,TX,79763,Brandi Cowan,Bay City,TX,47-4051,Highway Maintenance Workers,Hwy Maintenance Worker,0,12.28,Hour,12.28,Hour
H-400-12298-956345,12/26/12,11/9/12,Denied,H-2B,CA,2/1/13,10/31/13,,,,,,,,,,37-3011,Landscaping and Groundskeeping Workers,Greenskeeper III/Irrigation,0,15.15,Hour,15.15,Hour
H-400-12299-925969,12/26/12,12/12/12,Partial Certified,H-2B,NC,3/15/13,12/15/13,Scottie's Building Services Inc,811 Center Street,"Mailing: PO Box 821, Apex, NC 27502",Apex,NC,27502,APRIL MCKINNEY,BAY CITY,TX,37-2011,"Janitors and Cleaners, Except Maids and",High Rise Window Cleaners,32,8.15,Hour,8.15,Hour
H-400-12303-684031,12/26/12,11/20/12,Certified,H-2B,CA,1/5/13,10/5/13,"Elite Soccer League, Inc.",26895 Alisa Creek Rd,,Aliso Viejo,CA,92656,Craig McDougal,NORMAN,OK,27-2022,Coaches and Scouts,Coach,1,24.05,Hour,24.05,Hour
H-400-12307-661849,12/26/12,11/5/12,Denied,H-2B,TX,2/1/13,11/30/13,Texas Tomato Cage,807 B Veterans #303,n/a,Del Rio,TX,78840,NORMA WILLIAMS,SAN ANTONIO,TX,51-4081,"Multiple Machine Tool Setters, Operators, and",Hydraulic Senior Machine Operator,0,13.67,Hour,13.67,Hour
H-400-12313-920361,12/26/12,11/8/12,Denied,H-2B,OK,1/1/13,10/31/13,"LOS JUAREZ, LLC",2002 E. GORE BLVD.,N/A,LAWTON,OK,73501,LINDA PEREZ,BROWNSVILLE,TX,35-2021,Food Preparation Workers,FOOD PREPARATION WORKER,0,8.9,Hour,8.9,Hour
H-400-12314-797971,12/26/12,12/12/12,Certified,H-2B,VA,3/10/13,12/10/13,LaPointe Landscapes LLC,123 Easy Lane,,Bluemont,VA,20135,APRIL MCKINNEY,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,7,8.99,Hour,8.99,Hour
H-400-12317-055020,12/26/12,11/30/12,Certified,H-2B,ME,3/15/13,12/1/13,Piscataqua Landscaping Company Inc,26 Maclellan Lane,,Eliot,ME,03903,APRIL MCKINNEY,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,15,11.71,Hour,11.71,Hour
H-400-12318-592975,12/26/12,11/13/12,Certified,H-2B,TX,12/26/12,9/26/13,RKW Irrigation and Landscaping,828 Country Rd. 402,N/A,Uvalde,TX,78801,Gloria Rodriguez,San Antonio,TX,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeper,10,9.13,Hour,9.13,Hour
H-400-12320-048517,12/26/12,12/12/12,Certified,H-2B,NC,2/11/13,12/11/13,"Southernscapes, Inc",309 ROGERS LANE,,RALEIGH,NC,27610,TAMMY ALECIO,CARY,NC,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,15,8.95,Hour,8.95,Hour
H-400-12321-339584,12/26/12,11/29/12,Partial Certified,H-2B,NC,12/26/12,2/28/13,"CLOER NURSERY CO.,INC",8405 GREEN LEVEL CHURCH ROAD,NA,CARY,NC,27519,TAMMY ALECIO,CARY,NC,47-2061,Construction Laborers,GENERAL LABOR,5,11.56,Hour,11.56,Hour
H-400-12325-271183,12/26/12,11/27/12,Certified,H-2B,PA,3/4/13,11/22/13,THE BRICKMAN GROUP LTD LLC,18227D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,33,8.1,Hour,8.1,Hour
H-400-12326-338955,12/26/12,11/27/12,Partial Certified,H-2B,IN,3/4/13,11/22/13,THE BRICKMAN GROUP LTD LLC,18227D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,28,10.5,Hour,10.5,Hour
H-400-12326-520351,12/26/12,11/27/12,Partial Certified,H-2B,IN,3/4/13,11/22/13,THE BRICKMAN GROUP LTD LLC,18227D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,14,9.01,Hour,9.01,Hour
H-400-12328-534401,12/26/12,11/23/12,Certified,H-2B,NJ,2/15/13,12/13/13,Pyontek Bros Tree Service,2 Rock Spring Rd,,Chester,NJ,07930,Luisa Ramirez,Pine Brook,NJ,37-3011,Landscaping and Groundskeeping Workers,Lanscaping Labor,2,9.29,Hour,9.29,Hour
H-400-12334-222406,12/26/12,11/29/12,Certified,H-2B,LA,2/1/13,12/1/13,"Three River Farm Supply, Inc.",P.O. Box 1570,6062 Hwy 129,Ferriday/Monterrey,LA,71334,Linda White,Livingston,LA,53-7062,"Laborers and Freight, Stock, and Material Movers,","Labor, Truck Load and Unload Labor",4,8.04,Hour,8.04,Hour
H-400-12335-483909,12/26/12,11/30/12,Certified,H-2B,NY,3/1/13,12/15/13,ARCADIA HOLDING COMPANY LLC,1300 BAPTIST CHURCH ROAD,N/A,YORKTOWN HEIGHTS,NY,10598,JOHN GISMONDI,WESTBURY,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,3,10.4,Hour,10.4,Hour
H-400-12335-895732,12/26/12,11/30/12,Certified,H-2B,LA,3/1/13,10/13/13,"Deville's Lawnservice II, LLC",8421 Neal Lane,,Morganza,LA,70759,Linda White,Livingston,LA,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,5,8.1,Hour,8.1,Hour
H-400-12339-730241,12/26/12,12/12/12,Certified,H-2B,PA,3/1/13,12/31/13,"B. DeMichele, Inc",390 Parkmount Rd,,Media,PA,19063,RITA ROMERO,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,30,9.22,Hour,9.22,Hour
H-400-12341-231645,12/26/12,12/12/12,Certified,H-2B,LA,2/14/13,12/13/13,Munie Greencare Professionals - LA,100 Pendleton,1000 Milburn School Rd. Caseyville IL 62232,Ft.Polk,LA,71459,Elizabeth Whitley,LOVINGSTON,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,25,8.21,Hour,8.21,Hour
H-400-12345-529978,12/26/12,12/12/12,Partial Certified,H-2B,OH,3/15/13,11/30/13,"R.B.Stout, Inc.",1285 N. Cleveland-Massillon Rd.,"1285 N. Cleveland-Massillon Rd. Akron, OH 44333",Akron,OH,44333,Elizabeth Whitley,LOVINGSTON,VA,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,22,8.45,Hour,8.45,Hour
H-400-12345-514826,12/26/12,12/12/12,Certified,H-2B,MD,3/1/13,10/15/13,"AQUASAFE POOL MANAGEMENT, INC.","7466 NEW RIDGE ROAD, SUITE 14",,HANOVER,MD,21076,,,,37-2011,"Janitors and Cleaners, Except Maids and",Recreational Facility Specialist,10,9.87,Hour,9.87,Hour
H-400-12346-939321,12/26/12,12/12/12,Certified,H-2B,OH,3/11/13,11/30/13,Buyansky Brothers Landscaping Inc.,6684 Beverly May Drive,,Independence,OH,44131,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,5,8.45,Hour,8.45,Hour
H-400-12347-488227,12/26/12,12/12/12,Partial Certified,H-2B,VA,3/15/13,12/15/13,Bryan's Complete Lawn Service Inc.,12134 Washington Highway,,Ashland,VA,23005,Elizabeth Whitley,LOVINGSTON,VA,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,37,9.44,Hour,9.44,Hour
H-400-12347-050139,12/26/12,12/12/12,Partial Certified,H-2B,MD,3/1/13,10/15/13,"AQUASAFE POOL MANAGEMENT, INC.","7466 NEW RIDGE ROAD, SUITE 14",,HANOVER,MD,21076,,,,37-2011,"Janitors and Cleaners, Except Maids and",Recreational Facility Specialist,9,10.21,Hour,10.21,Hour
H-400-12347-397491,12/26/12,12/12/12,Certified,H-2B,AL,3/1/13,12/31/13,"VALLARTA OF ALABAMA, INC.",1145 S. MCKENZIE ST.,,FOLEY,AL,36535,LINDA PEREZ,BROWNSVILLE,TX,51-9198,Helpers--Production Workers,HELPERS-PRODUCTION WORKERS,7,12.96,Hour,12.96,Hour
H-400-12347-046189,12/26/12,12/12/12,Certified,H-2B,TX,3/1/13,12/12/13,"IRRIGATION VENTURES, LLC.",5205 HUDSON BEND,,AUSTIN,TX,78734,LINDA PEREZ,BROWNSVILLE,TX,37-3011,Landscaping and Groundskeeping Workers,GROUNDSKEEPING LABORER,10,11.79,Hour,11.79,Hour
